TASK_CODE,ACTIVITY_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE
PA699,A105,Complete IP prosecution work associated with task PA699 and document outcomes for the client. Coordinate with internal legal team members and paralegals on execution.,Partner,N,N
PA130,A110,"Organize matter files, update docket dates, and maintain prosecution record for reliable reporting. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N
PA140,A101,"Prepare and revise budget estimates for expected prosecution steps, fees, and response cycles. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
TR250,A104,"Monitor trademark publications for potential conflicts and prepare periodic watch report for the portfolio. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
TR299,A102,Complete IP prosecution work associated with task TR299 and document outcomes for the client. Conduct targeted legal and factual research to support the task.,Associate,N,N
TR630,A104,"Analyze trademark office action refusals, draft response with amendments, and submit via appropriate portal. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA650,A110,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N
PA220,A105,Perform patentability prior art search and analyze references relevant to the disclosed wireless sensor. Coordinate with internal legal team members and paralegals on execution.,Partner,N,N
PA450,A104,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA320,A106,"Draft non-provisional patent specification, claims, and abstract for GB filing covering data compression algorithm embodiments. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
PA199,A106,Complete IP prosecution work associated with task PA199 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA630,A105,"Review patent office action, draft response arguments and claim amendments, and file response with the office. Coordinate with internal legal team members and paralegals on execution.",Partner,N,N
PA450,A105,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Coordinate with internal legal team members and paralegals on execution.",Associate,N,N
TR410,A108,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Communicate with the IP office, foreign agents, or other external parties.",Associate,N,N
TR440,A101,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
TR420,A103,"Draft preliminary amendment updating claims or application details prior to substantive examination. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA510,A103,"Draft and finalize provisional patent application materials for GB filing based on optical imaging lens system disclosure. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA210,A102,Perform patentability prior art search and analyze references relevant to the disclosed battery management system. Conduct targeted legal and factual research to support the task.,Associate,N,N
PA199,A103,"Complete IP prosecution work associated with task PA199 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA110,A106,Conduct initial inventor and stakeholder interviews to confirm facts and scope for new IP matter. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA560,A105,Prepare validation filing package for issued regional patent and coordinate required translations and forms. Coordinate with internal legal team members and paralegals on execution.,Paralegal,N,N
PA450,A103,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA210,A102,Perform patentability prior art search and analyze references relevant to the disclosed wireless sensor. Conduct targeted legal and factual research to support the task.,Associate,N,N
TR410,A104,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
TR430,A111,"Analyze trademark office action refusals, draft response with amendments, and submit via appropriate portal. Perform other related services as required by the matter. Also summarize key issues for client call and record action items in the prosecution log.",Paralegal,Y,N
TR310,A103,"Prepare and file trademark application for {NAME_PLACEHOLDER} Edge covering medical diagnostic devices, including specimen and first-use information. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA330,A103,"Prepare design patent application, including figures coordination and design claim language for CN filing. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA130,A110,"Organize matter files, update docket dates, and maintain prosecution record for reliable reporting. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
PA399,A106,Complete IP prosecution work associated with task PA399 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA740,A104,"Negotiate and draft IP license provisions and coordinate execution and recordkeeping for compliance. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA410,A104,"Prepare and file information disclosure statement listing prior art references and related submission forms. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA599,A104,"Complete IP prosecution work associated with task PA599 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA599,A103,"Complete IP prosecution work associated with task PA599 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
TR299,A102,Complete IP prosecution work associated with task TR299 and document outcomes for the client. Conduct targeted legal and factual research to support the task.,Associate,N,N
TR740,A104,"Negotiate and draft IP license provisions and coordinate execution and recordkeeping for compliance. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR399,A104,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA299,A102,Complete IP prosecution work associated with task PA299 and document outcomes for the client. Conduct targeted legal and factual research to support the task.,Partner,N,N
PA299,A106,Complete IP prosecution work associated with task PA299 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Partner,N,N
PA530,A103,"Prepare design patent application, including figures coordination and design claim language for KR filing. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA410,A104,"Prepare and file information disclosure statement listing prior art references and related submission forms. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA740,A104,"Negotiate and draft IP license provisions and coordinate execution and recordkeeping for compliance. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA270,A106,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Communicate with client and inventors to confirm instructions and approvals.",Partner,N,N
PA340,A111,"Prepare plant patent application materials, including deposit documentation and drawings, for CN filing. Perform other related services as required by the matter. Also prepare client update email and confirm filing instructions before submission.",Paralegal,Y,N
TR430,A112,"Analyze trademark office action refusals, draft response with amendments, and submit via appropriate portal. Bill travel time associated with in-person meeting, interview, or hearing.",Associate,N,N
TR399,A102,Complete IP prosecution work associated with task TR399 and document outcomes for the client. Conduct targeted legal and factual research to support the task.,Associate,N,N
TR230,A104,"Perform full trademark clearance search for {NAME_PLACEHOLDER} Secure covering computer hardware and analyze likelihood of confusion. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA210,A101,"Perform patentability prior art search and analyze references relevant to the disclosed optical imaging lens system. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
PA450,A111,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Perform other related services as required by the matter. Also summarize key issues for client call and record action items in the prosecution log.",Associate,Y,N
PA320,A106,"Draft non-provisional patent specification, claims, and abstract for AU filing covering optical imaging lens system embodiments. Communicate with client and inventors to confirm instructions and approvals.",Partner,N,N
PA130,A110,"Organize matter files, update docket dates, and maintain prosecution record for reliable reporting. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA430,A103,"Review patent office action, draft response arguments and claim amendments, and file response with the office. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA399,A105,Complete IP prosecution work associated with task PA399 and document outcomes for the client. Coordinate with internal legal team members and paralegals on execution.,Associate,N,N
PA440,A101,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
TR230,A102,Perform full trademark clearance search for {NAME_PLACEHOLDER} Secure covering medical diagnostic devices and analyze likelihood of confusion. Conduct targeted legal and factual research to support the task.,Partner,N,N
TR270,A102,Verify trademark application status and renewal dates; update docket and notify client of deadlines. Conduct targeted legal and factual research to support the task.,Associate,N,N
TR270,A105,Verify trademark application status and renewal dates; update docket and notify client of deadlines. Coordinate with internal legal team members and paralegals on execution.,Paralegal,N,N
PA299,A110,"Complete IP prosecution work associated with task PA299 and document outcomes for the client. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA310,A103,"Draft and finalize provisional patent application materials for GB filing based on machine-learning model disclosure. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA440,A103,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA220,A105,Perform patentability prior art search and analyze references relevant to the disclosed network intrusion detection. Coordinate with internal legal team members and paralegals on execution.,Associate,N,N
PA450,A108,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Communicate with the IP office, foreign agents, or other external parties.",Associate,N,N
PA440,A108,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Communicate with the IP office, foreign agents, or other external parties.",Associate,N,N
PA450,A109,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Attend examiner interview, hearing, or scheduled conference related to the matter.",Associate,N,N
TR230,A102,Perform full trademark clearance search for {NAME_PLACEHOLDER} One covering medical diagnostic devices and analyze likelihood of confusion. Conduct targeted legal and factual research to support the task.,Associate,N,N
TR399,A103,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
TR120,A101,"Develop prosecution strategy and timeline, including claim or goods/services positioning for filing. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
PA540,A111,"Prepare plant patent application materials, including deposit documentation and drawings, for US filing. Perform other related services as required by the matter. Also prepare client update email and confirm filing instructions before submission.",Associate,Y,N
PA250,A102,Set up publication watch alerts and review newly published applications for potential conflicts. Conduct targeted legal and factual research to support the task.,Paralegal,N,N
PA270,A102,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Conduct targeted legal and factual research to support the task.",Partner,N,N
PA310,A105,Draft and finalize provisional patent application materials for CN filing based on wireless sensor disclosure. Coordinate with internal legal team members and paralegals on execution.,Partner,N,N
PA450,A104,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA330,A104,"Prepare design patent application, including figures coordination and design claim language for KR filing. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA610,A101,"Prepare and file information disclosure statement listing prior art references and related submission forms. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
TR199,A110,"Complete IP prosecution work associated with task TR199 and document outcomes for the client. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
TR299,A106,Complete IP prosecution work associated with task TR299 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Paralegal,N,N
TR130,A110,"Organize matter files, update docket dates, and maintain prosecution record for reliable reporting. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA310,A104,"Draft and finalize provisional patent application materials for US filing based on network intrusion detection disclosure. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA430,A104,"Review patent office action, draft response arguments and claim amendments, and file response with the office. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA450,A110,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA510,A105,Draft and finalize provisional patent application materials for EP filing based on biometric authentication disclosure. Coordinate with internal legal team members and paralegals on execution.,Associate,N,N
PA350,A104,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA310,A101,"Draft and finalize provisional patent application materials for CN filing based on wireless sensor disclosure. Plan work, outline next steps, and coordinate internal timelines.",Paralegal,N,N
PA450,A101,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
TR410,A104,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
TR270,A104,"Verify trademark application status and renewal dates; update docket and notify client of deadlines. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
TR420,A105,Draft preliminary amendment updating claims or application details prior to substantive examination. Coordinate with internal legal team members and paralegals on execution.,Paralegal,N,N
PA440,A108,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Communicate with the IP office, foreign agents, or other external parties.",Associate,N,N
PA450,A104,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA210,A102,Perform patentability prior art search and analyze references relevant to the disclosed biometric authentication. Conduct targeted legal and factual research to support the task.,Associate,N,N
PA420,A103,"Draft preliminary amendment updating claims or application details prior to substantive examination. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA320,A104,"Draft non-provisional patent specification, claims, and abstract for AU filing covering semiconductor packaging method embodiments. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA710,A103,"Draft formal written opinion on registrability, patentability, or clearance implications for the proposed filing. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA730,A106,Draft assignment documents and record ownership changes with the relevant intellectual property office. Communicate with client and inventors to confirm instructions and approvals.,Paralegal,N,N
TR199,A104,"Complete IP prosecution work associated with task TR199 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR220,A104,"Run preliminary trademark registerability search for {NAME_PLACEHOLDER} One and assess obvious conflicts and refusals. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
TR310,A104,"Prepare and file trademark application for {NAME_PLACEHOLDER} Secure covering telecommunications services, including specimen and first-use information. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA299,A110,"Complete IP prosecution work associated with task PA299 and document outcomes for the client. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N
PA320,A111,"Draft non-provisional patent specification, claims, and abstract for EP filing covering data compression algorithm embodiments. Perform other related services as required by the matter. Also review docket deadlines and coordinate e-filing confirmations with paralegal team.",Paralegal,Y,N
PA270,A104,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA499,A104,"Complete IP prosecution work associated with task PA499 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N
PA620,A111,Draft preliminary amendment updating claims or application details prior to substantive examination. Perform other related services as required by the matter. Also prepare client update email and confirm filing instructions before submission.,Associate,Y,N
PA399,A104,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA340,A104,"Prepare plant patent application materials, including deposit documentation and drawings, for US filing. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR310,A103,"Prepare and file trademark application for {NAME_PLACEHOLDER} Edge covering medical diagnostic devices, including specimen and first-use information. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
TR510,A103,"Prepare and file trademark application for {NAME_PLACEHOLDER} Edge covering financial services, including specimen and first-use information. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
TR199,A101,"Complete IP prosecution work associated with task TR199 and document outcomes for the client. Plan work, outline next steps, and coordinate internal timelines.",Partner,N,N
PA330,A102,"Prepare design patent application, including figures coordination and design claim language for KR filing. Conduct targeted legal and factual research to support the task.",Partner,N,N
PA440,A106,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
PA450,A106,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Communicate with client and inventors to confirm instructions and approvals.",Partner,N,N
PA340,A102,"Prepare plant patent application materials, including deposit documentation and drawings, for JP filing. Conduct targeted legal and factual research to support the task.",Associate,N,N
PA399,A105,Complete IP prosecution work associated with task PA399 and document outcomes for the client. Coordinate with internal legal team members and paralegals on execution.,Partner,N,N
PA499,A108,"Complete IP prosecution work associated with task PA499 and document outcomes for the client. Communicate with the IP office, foreign agents, or other external parties.",Associate,N,N
PA410,A110,"Prepare and file information disclosure statement listing prior art references and related submission forms. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N
TR299,A102,Complete IP prosecution work associated with task TR299 and document outcomes for the client. Conduct targeted legal and factual research to support the task.,Associate,N,N
TR399,A111,Complete IP prosecution work associated with task TR399 and document outcomes for the client. Perform other related services as required by the matter. Also review docket deadlines and coordinate e-filing confirmations with paralegal team.,Associate,Y,N
TR130,A110,"Organize matter files, update docket dates, and maintain prosecution record for reliable reporting. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
PA730,A106,Draft assignment documents and record ownership changes with the relevant intellectual property office. Communicate with client and inventors to confirm instructions and approvals.,Paralegal,N,N
PA210,A104,"Perform patentability prior art search and analyze references relevant to the disclosed network intrusion detection. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA310,A106,Draft and finalize provisional patent application materials for CN filing based on wireless sensor disclosure. Communicate with client and inventors to confirm instructions and approvals.,Partner,N,N
PA320,A101,"Draft non-provisional patent specification, claims, and abstract for US filing covering semiconductor packaging method embodiments. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
PA330,A110,"Prepare design patent application, including figures coordination and design claim language for CA filing. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
PA410,A108,"Prepare and file information disclosure statement listing prior art references and related submission forms. Communicate with the IP office, foreign agents, or other external parties.",Partner,N,N
PA270,A110,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
TR399,A103,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
TR310,A103,"Prepare and file trademark application for {NAME_PLACEHOLDER} Cloud covering telecommunications services, including specimen and first-use information. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
TR420,A103,"Draft preliminary amendment updating claims or application details prior to substantive examination. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA220,A106,Perform patentability prior art search and analyze references relevant to the disclosed wireless sensor. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA520,A106,"Draft non-provisional patent specification, claims, and abstract for KR filing covering network intrusion detection embodiments. Communicate with client and inventors to confirm instructions and approvals.",Partner,N,N
PA250,A106,Set up publication watch alerts and review newly published applications for potential conflicts. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA230,A101,"Conduct clearance review of patent claims related to the battery management system implementation and potential third-party coverage. Plan work, outline next steps, and coordinate internal timelines.",Partner,N,N
PA140,A101,"Prepare and revise budget estimates for expected prosecution steps, fees, and response cycles. Plan work, outline next steps, and coordinate internal timelines.",Associate,N,N
PA710,A104,"Draft formal written opinion on registrability, patentability, or clearance implications for the proposed filing. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA450,A104,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
TR220,A104,"Run preliminary trademark registerability search for {NAME_PLACEHOLDER} Cloud and assess obvious conflicts and refusals. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR770,A106,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
TR399,A104,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA440,A106,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Communicate with client and inventors to confirm instructions and approvals.",Paralegal,N,N
PA330,A106,"Prepare design patent application, including figures coordination and design claim language for JP filing. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
PA330,A103,"Prepare design patent application, including figures coordination and design claim language for JP filing. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA270,A106,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Communicate with client and inventors to confirm instructions and approvals.",Paralegal,N,N
PA430,A111,"Review patent office action, draft response arguments and claim amendments, and file response with the office. Perform other related services as required by the matter. Also review docket deadlines and coordinate e-filing confirmations with paralegal team.",Associate,Y,N
PA540,A106,"Prepare plant patent application materials, including deposit documentation and drawings, for JP filing. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
PA270,A102,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Conduct targeted legal and factual research to support the task.",Associate,N,N
TR410,A103,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
TR620,A108,"Draft preliminary amendment updating claims or application details prior to substantive examination. Communicate with the IP office, foreign agents, or other external parties.",Associate,N,N
TR620,A104,"Draft preliminary amendment updating claims or application details prior to substantive examination. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA140,A101,"Prepare and revise budget estimates for expected prosecution steps, fees, and response cycles. Plan work, outline next steps, and coordinate internal timelines.",Paralegal,N,N
PA510,A103,"Draft and finalize provisional patent application materials for US filing based on payment tokenization process disclosure. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
PA340,A103,"Prepare plant patent application materials, including deposit documentation and drawings, for CA filing. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA310,A111,Draft and finalize provisional patent application materials for CA filing based on network intrusion detection disclosure. Perform other related services as required by the matter. Also prepare client update email and confirm filing instructions before submission.,Partner,Y,N
PA720,A110,"Review IP portfolio status, identify upcoming renewals, and recommend prosecution priorities for the next quarter. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
PA499,A106,Complete IP prosecution work associated with task PA499 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Paralegal,N,N
PA270,A106,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
TR250,A106,Monitor trademark publications for potential conflicts and prepare periodic watch report for the portfolio. Communicate with client and inventors to confirm instructions and approvals.,Paralegal,N,N
TR420,A106,Draft preliminary amendment updating claims or application details prior to substantive examination. Communicate with client and inventors to confirm instructions and approvals.,Partner,N,N
TR250,A110,"Monitor trademark publications for potential conflicts and prepare periodic watch report for the portfolio. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
PA520,A106,"Draft non-provisional patent specification, claims, and abstract for AU filing covering payment tokenization process embodiments. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
PA550,A103,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA310,A101,"Draft and finalize provisional patent application materials for US filing based on biometric authentication disclosure. Plan work, outline next steps, and coordinate internal timelines.",Partner,N,N
PA399,A103,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA220,A106,Perform patentability prior art search and analyze references relevant to the disclosed cloud security protocol. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA399,A104,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA130,A110,"Organize matter files, update docket dates, and maintain prosecution record for reliable reporting. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N
TR250,A102,Monitor trademark publications for potential conflicts and prepare periodic watch report for the portfolio. Conduct targeted legal and factual research to support the task.,Paralegal,N,N
TR310,A103,"Prepare and file trademark application for {NAME_PLACEHOLDER} Secure covering computer hardware, including specimen and first-use information. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
TR420,A108,"Draft preliminary amendment updating claims or application details prior to substantive examination. Communicate with the IP office, foreign agents, or other external parties.",Associate,N,N
PA330,A104,"Prepare design patent application, including figures coordination and design claim language for AU filing. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA540,A105,"Prepare plant patent application materials, including deposit documentation and drawings, for KR filing. Coordinate with internal legal team members and paralegals on execution.",Associate,N,N
PA440,A109,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Attend examiner interview, hearing, or scheduled conference related to the matter.",Partner,N,N
PA499,A110,"Complete IP prosecution work associated with task PA499 and document outcomes for the client. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA530,A106,"Prepare design patent application, including figures coordination and design claim language for AU filing. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
PA450,A103,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA520,A104,"Draft non-provisional patent specification, claims, and abstract for CA filing covering medical device actuator embodiments. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR799,A104,"Complete IP prosecution work associated with task TR799 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
TR230,A106,Perform full trademark clearance search for {NAME_PLACEHOLDER} One covering telecommunications services and analyze likelihood of confusion. Communicate with client and inventors to confirm instructions and approvals.,Paralegal,N,N
TR730,A106,Draft assignment documents and record ownership changes with the relevant intellectual property office. Communicate with client and inventors to confirm instructions and approvals.,Partner,N,N
PA310,A103,"Draft and finalize provisional patent application materials for JP filing based on semiconductor packaging method disclosure. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA350,A103,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA330,A110,"Prepare design patent application, including figures coordination and design claim language for US filing. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA210,A106,Perform patentability prior art search and analyze references relevant to the disclosed battery management system. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA270,A105,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Coordinate with internal legal team members and paralegals on execution.",Partner,N,N
PA450,A103,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA620,A103,"Draft preliminary amendment updating claims or application details prior to substantive examination. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
TR440,A112,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Bill travel time associated with in-person meeting, interview, or hearing.",Paralegal,N,N
TR270,A102,Verify trademark application status and renewal dates; update docket and notify client of deadlines. Conduct targeted legal and factual research to support the task.,Partner,N,N
TR310,A103,"Prepare and file trademark application for {NAME_PLACEHOLDER} Edge covering restaurant services, including specimen and first-use information. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA299,A101,"Complete IP prosecution work associated with task PA299 and document outcomes for the client. Plan work, outline next steps, and coordinate internal timelines.",Paralegal,N,N
PA399,A110,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N
PA450,A106,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Communicate with client and inventors to confirm instructions and approvals.",Paralegal,N,N
PA420,A104,"Draft preliminary amendment updating claims or application details prior to substantive examination. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA399,A106,Complete IP prosecution work associated with task PA399 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA230,A102,Conduct clearance review of patent claims related to the industrial robotics gripper implementation and potential third-party coverage. Conduct targeted legal and factual research to support the task.,Associate,N,N
PA210,A102,Perform patentability prior art search and analyze references relevant to the disclosed industrial robotics gripper. Conduct targeted legal and factual research to support the task.,Associate,N,N
TR750,A105,Prepare and file domain name registration paperwork and coordinate with registrar for ownership confirmation. Coordinate with internal legal team members and paralegals on execution.,Paralegal,N,N
