TASK_CODE,ACTIVITY_CODE,DESCRIPTION,TK_CLASSIFICATION,Blockbilling
L400,A111,Coordinate hearing logistics re case budget with {NAME_PLACEHOLDER},Paralegal,N
L440,A103,Arrange courier for courtesy copies re scheduling and deadlines,Paralegal,N
L200,A103,Coordinate court reporter and videographer re motion practice,Paralegal,N
L300,A110,Prepare exhibit list cross-references re deposition logistics,Associate,N
L110,A112,Analyze document production for key facts regarding expert strategy,Associate,N
L400,A102,Prepare trial notebook sections re compliance with local rules,Paralegal,N
L300,A108,Prepare interrogatories and RFPs re compliance with local rules,Associate,N
L200,A110,Prepare deposition cross outline re motion practice with {NAME_PLACEHOLDER},Associate,N
L200,A103,Cite-check and proof brief; Bates label and organize document set; Arrange courier for courtesy copies re settlement framework; Manage document vendor instructions re settlement framework; Update privilege log spreadsheet re discovery issues,Paralegal,Y
L430,A107,Draft notice of removal re scheduling and deadlines,Associate,N
L330,A105,Manage document vendor instructions re scheduling and deadlines,Paralegal,N
L140,A112,Review case budget and resourcing re settlement framework,Partner,N
L130,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions,Associate,N
L300,A105,Research expert admissibility (Daubert) re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L200,A107,Draft opposition to motion to compel re case budget,Associate,N
L300,A110,Review and summarize deposition transcript with {NAME_PLACEHOLDER},Associate,N
L300,A110,Review and summarize deposition transcript re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L200,A105,E-file motion and manage service re motion practice,Paralegal,N
L240,A113,Organize correspondence archive re mediation planning,Paralegal,N
L300,A109,Track discovery deficiencies re case budget,Paralegal,N
L100,A113,Organize correspondence archive re settlement framework,Paralegal,N
L300,A101,Track discovery deficiencies re compliance with local rules,Paralegal,N
L300,A110,Review case budget and resourcing re deposition logistics,Partner,N
L300,A110,Review and summarize deposition transcript re compliance with local rules with {NAME_PLACEHOLDER},Associate,N
L400,A101,Draft pretrial conference statement re settlement framework with {NAME_PLACEHOLDER},Associate,N
L300,A110,Approve deposition strategy re case budget with {NAME_PLACEHOLDER},Partner,N
L200,A107,Draft motion to dismiss re trial preparation,Associate,N
L240,A107,Draft protective order re mediation planning,Associate,N
L240,A107,Draft initial disclosures re mediation planning,Associate,N
L300,A110,Prepare deposition cross outline re trial preparation,Associate,N
L400,A101,Draft pretrial conference statement re trial preparation,Associate,N
L110,A112,Review expert retention strategy re compliance with local rules,Partner,N
L200,A113,Assemble exhibit binders re motion practice,Paralegal,N
L300,A110,Prepare exhibit list cross-references re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A107,Draft notice of removal re discovery issues,Associate,N
L200,A105,Research expert admissibility (Daubert) re motion practice,Associate,N
L400,A101,Prepare proof of service re trial preparation,Paralegal,N
L300,A110,Prepare interrogatories and RFPs re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L200,A107,Draft opposition to motion to compel re trial preparation,Associate,N
L200,A107,Draft initial disclosures re motion practice,Associate,N
L130,A107,Revise privilege log entries re compliance with local rules,Associate,N
L300,A110,Evaluate removal/remand options re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L300,A110,Review opposing expert report re deposition logistics,Associate,N
L110,A103,Arrange courier for courtesy copies regarding expert strategy,Paralegal,N
L200,A106,Outline oral argument themes re motion practice,Partner,N
L140,A109,Assess risk and exposure estimates re case budget,Partner,N
L200,A111,Coordinate hearing logistics re motion practice with {NAME_PLACEHOLDER},Paralegal,N
L300,A105,Legal research on dispositive issues re deposition logistics,Associate,N
L200,A105,Cite-check and proof brief re compliance with local rules,Paralegal,N
L200,A111,Attend hearing and argue motion re mediation planning,Partner,N
L320,A107,Draft subpoena to third party re scheduling and deadlines,Associate,N
L300,A105,Legal research on dispositive issues re deposition logistics,Associate,N
L200,A107,Draft reply brief,Associate,N
L400,A104,Evaluate appeal issues re trial preparation,Partner,N
L200,A107,Draft responses to RFPs and RFAs re motion practice,Associate,N
L300,A110,Prepare witness availability chart re deposition logistics,Paralegal,N
L110,A103,Coordinate court reporter and videographer regarding expert strategy,Paralegal,N
L110,A105,Prepare jury instructions research,Associate,N
L200,A113,Bates label and organize document set re motion practice,Paralegal,N
L200,A107,Revise discovery responses re motion practice,Associate,N
L240,A113,Update privilege log spreadsheet re mediation planning,Paralegal,N
L300,A110,Update privilege log spreadsheet re deposition logistics,Paralegal,N
L300,A110,Review and summarize deposition transcript regarding expert strategy,Associate,N
L130,A113,Update docket and calendar key dates re compliance with local rules,Paralegal,N
L300,A113,Prepare witness availability chart regarding expert strategy; Assemble exhibit binders; Prepare proof of service; Manage document vendor instructions re discovery issues,Paralegal,Y
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} regarding expert strategy,Paralegal,N
L400,A102,Prepare exhibit list cross-references regarding expert strategy,Associate,N
L110,A107,Draft statement of undisputed facts regarding expert strategy,Associate,N
L410,A103,Prepare witness examination outlines,Partner,N
L110,A112,Review and analyze case law updates regarding expert strategy,Associate,N
L300,A110,Approve deposition strategy re scheduling and deadlines with {NAME_PLACEHOLDER},Partner,N
L140,A103,Arrange courier for courtesy copies re case budget,Paralegal,N
L300,A101,Prepare for settlement conference re discovery issues,Partner,N
L110,A101,Conference with {NAME_PLACEHOLDER} re strategy re scheduling and deadlines,Partner,N
L140,A113,Organize correspondence archive re case budget,Paralegal,N
L200,A110,Approve deposition strategy re motion practice,Partner,N
L110,A101,Strategy conference re case posture with {NAME_PLACEHOLDER},Partner,N
L300,A105,Track discovery deficiencies re mediation planning,Paralegal,N
L200,A107,Draft motion to dismiss re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A110,Prepare exhibit list cross-references re deposition logistics,Associate,N
L200,A110,Cite-check and proof brief re deposition logistics,Paralegal,N
L300,A110,Approve deposition strategy re discovery issues with {NAME_PLACEHOLDER},Partner,N
L200,A101,Prepare for settlement conference re motion practice,Partner,N
L300,A110,Prepare interrogatories and RFPs re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A103,Arrange courier for courtesy copies re discovery issues,Paralegal,N
L300,A101,Prepare for settlement conference re discovery issues,Partner,N
L440,A107,Draft protective order re settlement framework,Associate,N
L200,A113,Organize correspondence archive re motion practice,Paralegal,N
L400,A113,Assemble exhibit binders re trial preparation,Paralegal,N
L300,A108,Prepare interrogatories and RFPs re settlement framework,Associate,N
L110,A107,Maintain case chronology regarding expert strategy,Paralegal,N
L300,A110,Prepare deposition outline for {NAME_PLACEHOLDER} re compliance with local rules,Associate,N
L200,A105,Legal research on dispositive issues; Prepare jury instructions research; Research sanctions standards re motion practice,Associate,Y
L140,A105,Prepare jury instructions research re case budget,Associate,N
L300,A107,Prepare interrogatories and RFPs,Associate,N
L200,A101,Draft pretrial conference statement re motion practice with {NAME_PLACEHOLDER},Associate,N
L200,A107,Assess risk and exposure estimates re motion practice,Partner,N
L300,A110,Organize correspondence archive re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L200,A107,Draft reply brief re compliance with local rules,Associate,N
L110,A105,Research sanctions standards regarding expert strategy,Associate,N
L200,A107,Draft initial disclosures re motion practice,Associate,N
L110,A107,Draft protective order regarding expert strategy,Associate,N
L200,A101,Conference with {NAME_PLACEHOLDER} re strategy; Review trial exhibit list re motion practice; Approve deposition strategy with {NAME_PLACEHOLDER} re deposition logistics; Prepare witness examination outlines re mediation planning (follow-up),Partner,Y
L520,A113,Manage document vendor instructions re settlement framework,Paralegal,N
L300,A107,Draft notice of deposition re discovery issues,Paralegal,N
L200,A101,Strategy conference re case posture; Approve final brief for filing; Outline oral argument themes re deposition logistics,Partner,Y
L300,A107,Revise discovery responses re mediation planning,Associate,N
L110,A103,Coordinate court reporter and videographer regarding expert strategy with {NAME_PLACEHOLDER},Paralegal,N
L230,A103,Arrange courier for courtesy copies re compliance with local rules,Paralegal,N
L300,A110,Review and summarize deposition transcript re mediation planning,Associate,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re compliance with local rules,Paralegal,N
L200,A101,Approve final brief for filing regarding expert strategy; Conference with {NAME_PLACEHOLDER} re strategy re mediation planning; Evaluate appeal issues; Approve deposition strategy; Assess risk and exposure estimates (follow-up),Partner,Y
L300,A103,Update docket and calendar key dates re discovery issues,Paralegal,N
L400,A111,Coordinate hearing logistics,Paralegal,N
L300,A101,Conference with {NAME_PLACEHOLDER} re strategy re discovery issues,Partner,N
L300,A110,Assemble exhibit binders re deposition logistics,Paralegal,N
L240,A110,Evaluate removal/remand options re mediation planning,Partner,N
L200,A104,Evaluate appeal issues re motion practice,Partner,N
L200,A110,Maintain case chronology re motion practice,Paralegal,N
L240,A113,Bates label and organize document set re mediation planning,Paralegal,N
L520,A105,Research sanctions standards re settlement framework,Associate,N
L200,A105,Research expert admissibility (Daubert) re motion practice,Associate,N
L200,A107,Draft opposition to motion to compel regarding expert strategy,Associate,N
L440,A106,Outline oral argument themes re settlement framework,Partner,N
L200,A110,Prepare deposition cross outline re motion practice,Associate,N
L300,A110,Analyze document production for key facts re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L140,A101,Prepare for settlement conference re case budget,Partner,N
L200,A107,High-level review of draft motion re compliance with local rules,Partner,N
L400,A107,Draft initial disclosures re trial preparation,Associate,N
L400,A101,Draft pretrial conference statement re compliance with local rules with {NAME_PLACEHOLDER},Associate,N
L200,A107,E-file motion and manage service re trial preparation,Paralegal,N
L400,A101,Prepare proof of service re trial preparation,Paralegal,N
L300,A110,Prepare trial notebook sections re deposition logistics,Paralegal,N
L300,A109,Track discovery deficiencies re settlement framework,Paralegal,N
L300,A107,Draft notice of deposition re deposition logistics to {NAME_PLACEHOLDER},Paralegal,N
L400,A105,Prepare exhibit list cross-references re mediation planning,Associate,N
L140,A107,Draft notice of removal re case budget,Associate,N
L430,A106,Evaluate settlement options re compliance with local rules,Partner,N
L240,A112,Review opposing expert report re mediation planning,Associate,N
L230,A107,Draft responses to RFPs and RFAs re scheduling and deadlines,Associate,N
L140,A103,Coordinate court reporter and videographer re case budget,Paralegal,N
L200,A107,Draft mediation brief re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L100,A107,Draft joint case management statement,Associate,N
L140,A112,Review case budget and resourcing re mediation planning,Partner,N
L300,A110,Approve deposition strategy,Partner,N
L300,A107,Revise discovery responses re scheduling and deadlines,Associate,N
L400,A113,Organize correspondence archive re trial preparation,Paralegal,N
L400,A111,Coordinate hearing logistics re scheduling and deadlines with {NAME_PLACEHOLDER},Paralegal,N
L200,A107,Draft motion to dismiss; Review and summarize deposition transcript; Analyze document production for key facts re case budget; Draft notice of removal re trial preparation; Draft opposition to motion to compel,Associate,Y
L110,A112,Review expert retention strategy re scheduling and deadlines,Partner,N
L230,A103,Arrange courier for courtesy copies re compliance with local rules,Paralegal,N
L400,A111,Prepare exhibit list cross-references,Associate,N
L120,A109,Evaluate removal/remand options,Partner,N
L500,A101,Evaluate appeal issues re settlement framework,Partner,N
L200,A101,Prepare for settlement conference re settlement framework with {NAME_PLACEHOLDER},Partner,N
L400,A103,Prepare trial notebook sections regarding expert strategy,Paralegal,N
L400,A105,Maintain case chronology re trial preparation,Paralegal,N
L410,A107,Draft joint case management statement re settlement framework,Associate,N
L300,A104,Prepare interrogatories and RFPs re discovery issues,Associate,N
L300,A110,Review trial exhibit list re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L400,A111,Prepare hearing binder and exhibits re mediation planning,Associate,N
L300,A110,Evaluate removal/remand options re deposition logistics,Partner,N
L200,A107,Draft motion to dismiss re case budget,Associate,N
L300,A110,Prepare deposition cross outline re settlement framework with {NAME_PLACEHOLDER},Associate,N
L200,A103,Cite-check and proof brief re mediation planning,Paralegal,N
L400,A107,Draft notice of removal re trial preparation,Associate,N
L400,A101,Draft pretrial conference statement re trial preparation,Associate,N
L300,A107,Draft notice of deposition re scheduling and deadlines,Paralegal,N
L300,A101,Prepare for settlement conference re deposition logistics,Partner,N
L240,A111,Compile record citations re mediation planning,Paralegal,N
L400,A104,Manage document vendor instructions re trial preparation,Paralegal,N
L400,A103,Prepare exhibit list cross-references re trial preparation,Associate,N
L400,A112,Review trial exhibit list re compliance with local rules,Partner,N
L300,A110,Approve deposition strategy re trial preparation,Partner,N
L200,A101,Review trial exhibit list re mediation planning; Evaluate appeal issues; Prepare for settlement conference; Conference with {NAME_PLACEHOLDER} re strategy re discovery issues; High-level review of draft motion,Partner,Y
L400,A107,Draft joint case management statement re trial preparation,Associate,N
L500,A105,Evaluate appeal issues re case budget,Partner,N
L200,A103,Coordinate court reporter and videographer re motion practice with {NAME_PLACEHOLDER},Paralegal,N
L200,A111,Attend hearing and argue motion re scheduling and deadlines,Partner,N
L200,A107,Draft mediation brief re discovery issues,Associate,N
L300,A110,Compile record citations re deposition logistics,Paralegal,N
L300,A110,Prepare deposition outline for {NAME_PLACEHOLDER} re mediation planning,Associate,N
L200,A102,E-file motion and manage service re scheduling and deadlines,Paralegal,N
L300,A107,Draft notice of deposition re deposition logistics,Paralegal,N
L110,A111,Evaluate settlement options regarding expert strategy,Partner,N
L300,A110,Evaluate removal/remand options re deposition logistics,Partner,N
L300,A110,Prepare deposition cross outline re discovery issues with {NAME_PLACEHOLDER},Associate,N
L200,A107,Draft notice of removal re motion practice,Associate,N
L300,A110,Approve deposition strategy re scheduling and deadlines,Partner,N
L200,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions re settlement framework,Associate,N
L200,A107,Draft motion for summary judgment re motion practice,Associate,N
L300,A111,Coordinate hearing logistics re discovery issues,Paralegal,N
L240,A105,Prepare jury instructions research re mediation planning,Associate,N
L340,A111,Compile record citations re compliance with local rules,Paralegal,N
L110,A107,Draft notice of removal regarding expert strategy,Associate,N
L300,A107,Draft notice of deposition re settlement framework,Paralegal,N
L200,A107,High-level review of draft motion re scheduling and deadlines,Partner,N
L200,A103,Arrange courier for courtesy copies re motion practice,Paralegal,N
L300,A110,Approve deposition strategy re compliance with local rules with {NAME_PLACEHOLDER},Partner,N
L400,A111,Coordinate hearing logistics re trial preparation with {NAME_PLACEHOLDER},Paralegal,N
L400,A111,Coordinate hearing logistics re mediation planning,Paralegal,N
L200,A107,Draft opposition to motion to compel re scheduling and deadlines,Associate,N
L200,A111,Attend hearing and argue motion re compliance with local rules,Partner,N
L400,A112,Review case budget and resourcing re trial preparation,Partner,N
L200,A107,Assess risk and exposure estimates re motion practice,Partner,N
L300,A107,Draft notice of deposition re case budget,Paralegal,N
L300,A110,Review and summarize deposition transcript re mediation planning with {NAME_PLACEHOLDER},Associate,N
L400,A108,Prepare trial notebook sections re mediation planning,Paralegal,N
L300,A107,Draft notice of deposition regarding expert strategy to {NAME_PLACEHOLDER},Paralegal,N
L330,A111,Prepare witness availability chart re compliance with local rules,Paralegal,N
L200,A107,Draft notice of deposition re motion practice to {NAME_PLACEHOLDER},Paralegal,N
L200,A101,Prepare for settlement conference re settlement framework with {NAME_PLACEHOLDER},Partner,N
L110,A101,Strategy conference re case posture with {NAME_PLACEHOLDER},Partner,N
L110,A101,Strategy conference re case posture re settlement framework,Partner,N
L140,A112,Review case budget and resourcing,Partner,N
L200,A107,Draft motion for summary judgment re scheduling and deadlines,Associate,N
L140,A105,Research expert admissibility (Daubert) re case budget,Associate,N
L300,A110,Review opposing expert report re deposition logistics,Associate,N
L200,A103,Coordinate court reporter and videographer re motion practice with {NAME_PLACEHOLDER},Paralegal,N
L300,A112,Review discovery plan and priorities re scheduling and deadlines,Partner,N
L300,A112,Review and analyze case law updates re discovery issues,Associate,N
L300,A103,Arrange courier for courtesy copies re discovery issues,Paralegal,N
L300,A103,Outline oral argument themes re scheduling and deadlines,Partner,N
L400,A103,Coordinate court reporter and videographer re compliance with local rules with {NAME_PLACEHOLDER},Paralegal,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re mediation planning,Paralegal,N
L510,A112,Analyze document production for key facts re scheduling and deadlines,Associate,N
L400,A111,Coordinate hearing logistics re mediation planning with {NAME_PLACEHOLDER},Paralegal,N
L300,A111,Coordinate hearing logistics re discovery issues with {NAME_PLACEHOLDER},Paralegal,N
L500,A103,Coordinate court reporter and videographer re compliance with local rules,Paralegal,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} regarding expert strategy,Paralegal,N
L200,A107,Draft subpoena to third party re motion practice,Associate,N
L200,A107,Draft motion for summary judgment re deposition logistics,Associate,N
L200,A106,Mentor Associate on brief structure re scheduling and deadlines,Partner,N
L330,A101,Prepare for settlement conference re settlement framework,Partner,N
L400,A111,Coordinate hearing logistics re trial preparation with {NAME_PLACEHOLDER},Paralegal,N
L230,A102,Meet and confer with opposing counsel with {NAME_PLACEHOLDER},Associate,N
L300,A110,Evaluate removal/remand options re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L300,A107,Revise discovery responses re compliance with local rules,Associate,N
L400,A113,Update privilege log spreadsheet re trial preparation,Paralegal,N
L200,A113,Cite-check and proof brief re trial preparation,Paralegal,N
L110,A112,Review case budget and resourcing regarding expert strategy,Partner,N
L110,A107,Draft subpoena to third party regarding expert strategy,Associate,N
L200,A101,Strategy conference re case posture re motion practice with {NAME_PLACEHOLDER},Partner,N
L300,A107,Draft notice of deposition re deposition logistics to {NAME_PLACEHOLDER},Paralegal,N
L110,A112,Analyze document production for key facts regarding expert strategy,Associate,N
L200,A113,Assemble exhibit binders re motion practice,Paralegal,N
L300,A107,Draft protective order re deposition logistics,Associate,N
L400,A102,Prepare trial notebook sections re compliance with local rules,Paralegal,N
L110,A101,Prepare and serve subpoenas regarding expert strategy,Paralegal,N
L200,A101,Prepare for settlement conference re settlement framework with {NAME_PLACEHOLDER},Partner,N
L130,A112,Review opposing expert report re scheduling and deadlines,Associate,N
L200,A101,Evaluate appeal issues regarding expert strategy; Mentor Associate on brief structure re discovery issues; Review discovery plan and priorities; Assess risk and exposure estimates; Strategy conference re case posture with {NAME_PLACEHOLDER} re scheduling and deadlines (follow-up),Partner,Y
L300,A107,Revise discovery responses re discovery issues,Associate,N
L400,A101,Prepare for settlement conference re trial preparation with {NAME_PLACEHOLDER},Partner,N
L310,A106,Prepare witness examination outlines re compliance with local rules,Partner,N
L200,A107,Draft protective order re motion practice,Associate,N
L300,A112,Review discovery plan and priorities regarding expert strategy; Review expert retention strategy; Analyze opposing counsel tactics,Partner,Y
L430,A110,Prepare witness examination outlines re settlement framework,Partner,N
L400,A112,Review expert retention strategy re trial preparation,Partner,N
L110,A107,Draft responses to RFPs and RFAs regarding expert strategy,Associate,N
L400,A103,Prepare trial notebook sections regarding expert strategy,Paralegal,N
L300,A101,Strategy conference re case posture re discovery issues,Partner,N
L110,A107,Update docket and calendar key dates regarding expert strategy,Paralegal,N
L200,A111,Attend hearing and argue motion,Partner,N
L140,A107,Draft initial disclosures re case budget,Associate,N
L110,A108,Evaluate removal/remand options regarding expert strategy,Partner,N
L200,A107,Draft motion for summary judgment re deposition logistics,Associate,N
L300,A110,Prepare deposition cross outline re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L400,A111,Prepare exhibit list cross-references re compliance with local rules,Associate,N
L200,A101,Strategy conference re case posture re motion practice,Partner,N
L300,A112,Review discovery plan and priorities re trial preparation,Partner,N
L400,A112,Review trial exhibit list re settlement framework,Partner,N
L300,A110,Bates label and organize document set re deposition logistics,Paralegal,N
L300,A103,Arrange courier for courtesy copies re discovery issues,Paralegal,N
L400,A107,Draft subpoena to third party re trial preparation,Associate,N
L200,A107,Draft motion for summary judgment re mediation planning,Associate,N
L140,A102,Meet and confer with opposing counsel re compliance with local rules with {NAME_PLACEHOLDER},Associate,N
L300,A110,Approve deposition strategy re discovery issues,Partner,N
L400,A101,Draft pretrial conference statement regarding expert strategy with {NAME_PLACEHOLDER},Associate,N
L200,A110,Attend hearing and argue motion re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L300,A110,Prepare witness examination outlines re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L240,A113,Update privilege log spreadsheet re mediation planning,Paralegal,N
L240,A102,Meet and confer with opposing counsel re mediation planning with {NAME_PLACEHOLDER},Associate,N
L300,A101,Strategy conference re case posture re discovery issues with {NAME_PLACEHOLDER},Partner,N
L200,A105,Legal research on dispositive issues re motion practice,Associate,N
L300,A111,Coordinate hearing logistics re discovery issues,Paralegal,N
L400,A102,Prepare trial notebook sections re compliance with local rules,Paralegal,N
L200,A111,E-file motion and manage service re compliance with local rules,Paralegal,N
L130,A112,Analyze opposing counsel tactics re compliance with local rules,Partner,N
L400,A107,Draft protective order re scheduling and deadlines,Associate,N
L110,A103,Coordinate court reporter and videographer regarding expert strategy with {NAME_PLACEHOLDER},Paralegal,N
L300,A103,Coordinate court reporter and videographer re discovery issues with {NAME_PLACEHOLDER},Paralegal,N
L200,A102,Meet and confer with opposing counsel re motion practice with {NAME_PLACEHOLDER},Associate,N
L300,A107,Draft notice of deposition re deposition logistics,Paralegal,N
L300,A110,Prepare witness availability chart re deposition logistics,Paralegal,N
L200,A107,Draft motion to dismiss,Associate,N
L200,A112,Review discovery plan and priorities re motion practice,Partner,N
L300,A110,Prepare interrogatories and RFPs re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L510,A112,Analyze document production for key facts re scheduling and deadlines,Associate,N
L300,A110,Prepare interrogatories and RFPs re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L200,A109,Approve final brief for filing,Partner,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re scheduling and deadlines,Paralegal,N
L200,A111,Prepare hearing binder and exhibits re motion practice,Associate,N
L300,A107,Revise privilege log entries re discovery issues,Associate,N
L230,A101,Prepare for settlement conference re compliance with local rules with {NAME_PLACEHOLDER},Partner,N
L230,A101,Prepare for settlement conference re compliance with local rules with {NAME_PLACEHOLDER},Partner,N
L430,A102,Meet and confer with opposing counsel re scheduling and deadlines with {NAME_PLACEHOLDER},Associate,N
L400,A101,Assess risk and exposure estimates; Prepare for settlement conference regarding expert strategy; Prepare for hearing; refine arguments (follow-up),Partner,Y
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re scheduling and deadlines,Paralegal,N
L130,A108,Prepare proof of service re scheduling and deadlines,Paralegal,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re deposition logistics,Paralegal,N
L130,A113,Bates label and organize document set,Paralegal,N
L200,A113,Cite-check and proof brief regarding expert strategy,Paralegal,N
L300,A110,Evaluate settlement options re deposition logistics,Partner,N
L200,A107,Coordinate hearing logistics with {NAME_PLACEHOLDER}; Prepare trial notebook sections re scheduling and deadlines; Draft notice of deposition re motion practice,Paralegal,Y
L500,A107,Evaluate appeal issues re mediation planning,Partner,N
L240,A101,Prepare for settlement conference re mediation planning with {NAME_PLACEHOLDER},Partner,N
L300,A110,Approve deposition strategy regarding expert strategy with {NAME_PLACEHOLDER},Partner,N
L300,A110,Review and summarize deposition transcript re scheduling and deadlines with {NAME_PLACEHOLDER},Associate,N
L110,A102,Meet and confer with opposing counsel regarding expert strategy with {NAME_PLACEHOLDER},Associate,N
L200,A101,Prepare for settlement conference re motion practice with {NAME_PLACEHOLDER},Partner,N
L400,A112,Review trial exhibit list,Partner,N
L110,A107,Revise privilege log entries regarding expert strategy,Associate,N
L300,A101,Draft notice of removal; Review opposing expert report re discovery issues; Draft statement of undisputed facts re scheduling and deadlines; Prepare jury instructions research re case budget; Draft pretrial conference statement (follow-up),Associate,Y
L300,A110,Approve deposition strategy re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L300,A110,Approve deposition strategy regarding expert strategy,Partner,N
L240,A112,Review and analyze case law updates re mediation planning,Associate,N
L200,A110,Cite-check and proof brief re deposition logistics,Paralegal,N
L140,A112,Review case budget and resourcing re settlement framework,Partner,N
L300,A105,Research sanctions standards re deposition logistics,Associate,N
L300,A112,Review expert retention strategy re discovery issues,Partner,N
L400,A105,Maintain case chronology re trial preparation,Paralegal,N
L300,A107,Revise discovery responses re case budget,Associate,N
L200,A107,Draft opposition to motion to compel re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A103,Arrange courier for courtesy copies; Coordinate court reporter and videographer with {NAME_PLACEHOLDER}; Track discovery deficiencies re case budget,Paralegal,Y
L200,A105,Cite-check and proof brief re motion practice,Paralegal,N
L240,A107,Draft statement of undisputed facts re mediation planning,Associate,N
L300,A110,Prepare deposition outline for {NAME_PLACEHOLDER} regarding expert strategy,Associate,N
L300,A110,Compile record citations re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L300,A110,Prepare witness availability chart re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L230,A103,Arrange courier for courtesy copies re compliance with local rules,Paralegal,N
L200,A107,High-level review of draft motion re scheduling and deadlines,Partner,N
L200,A112,Review expert retention strategy re motion practice,Partner,N
L300,A107,Draft initial disclosures re discovery issues,Associate,N
L200,A101,Conference with {NAME_PLACEHOLDER} re strategy re motion practice,Partner,N
L120,A107,Revise privilege log entries re scheduling and deadlines,Associate,N
L400,A101,Draft pretrial conference statement re settlement framework,Associate,N
L200,A107,Draft motion for summary judgment regarding expert strategy,Associate,N
L310,A105,Prepare jury instructions research re scheduling and deadlines,Associate,N
L110,A106,Prepare witness availability chart regarding expert strategy,Paralegal,N
L300,A110,Prepare for hearing; refine arguments; Evaluate appeal issues re case budget; Approve deposition strategy with {NAME_PLACEHOLDER} (follow-up),Partner,Y
L200,A111,Attend hearing and argue motion re compliance with local rules,Partner,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re compliance with local rules,Paralegal,N
L130,A107,Draft responses to RFPs and RFAs,Associate,N
L320,A107,Draft subpoena to third party,Associate,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} regarding expert strategy,Paralegal,N
L400,A111,Coordinate hearing logistics re compliance with local rules with {NAME_PLACEHOLDER},Paralegal,N
L400,A109,Prepare and serve subpoenas re trial preparation,Paralegal,N
L300,A110,Prepare deposition outline for {NAME_PLACEHOLDER},Associate,N
L300,A107,Revise discovery responses re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L240,A103,Coordinate court reporter and videographer re mediation planning,Paralegal,N
L200,A107,Draft reply brief re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A105,Legal research on dispositive issues re discovery issues,Associate,N
L300,A110,Prepare deposition cross outline regarding expert strategy with {NAME_PLACEHOLDER},Associate,N
L300,A112,Review discovery plan and priorities re trial preparation,Partner,N
L300,A105,Prepare jury instructions research re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L200,A101,Evaluate settlement options; Prepare for settlement conference; Mentor Associate on brief structure re mediation planning; Evaluate removal/remand options; Review expert retention strategy,Partner,Y
L300,A105,Prepare jury instructions research re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A112,Review case budget and resourcing re discovery issues,Partner,N
L240,A107,Draft responses to RFPs and RFAs re mediation planning,Associate,N
L300,A110,Prepare deposition cross outline re mediation planning with {NAME_PLACEHOLDER},Associate,N
L240,A112,Analyze opposing counsel tactics re settlement framework,Partner,N
L300,A107,Draft responses to RFPs and RFAs re deposition logistics,Associate,N
L400,A101,Draft pretrial conference statement re case budget,Associate,N
L300,A110,Review and summarize deposition transcript re mediation planning,Associate,N
L200,A105,Compile record citations re motion practice,Paralegal,N
L400,A113,Update privilege log spreadsheet re trial preparation,Paralegal,N
L240,A102,Meet and confer with opposing counsel re mediation planning,Associate,N
L300,A102,Meet and confer with opposing counsel re deposition logistics,Associate,N
L400,A111,Prepare hearing binder and exhibits re mediation planning,Associate,N
L110,A101,Strategy conference re case posture re case budget with {NAME_PLACEHOLDER},Partner,N
L300,A110,Prepare deposition cross outline re discovery issues,Associate,N
L200,A102,Meet and confer with opposing counsel re settlement framework with {NAME_PLACEHOLDER},Associate,N
L420,A101,Outline oral argument themes re compliance with local rules,Partner,N
